数据id,数据标识,应用部位,产品所属专利号或文献,球头信息_球头基本信息,球头信息_球头_成分组成,球头信息_球头_物理性能,球头信息_球头_微观组织,股骨柄信息_股骨柄基本信息,股骨柄信息_股骨柄_成分组成,股骨柄信息_股骨柄_物理性能,股骨柄信息_股骨柄_微观组织,内衬信息_内衬_基本信息,内衬信息_内衬_改性填料,内衬信息_内衬_成分组成,内衬信息_内衬_物理性能,内衬信息_复合材料性能,内衬信息_内衬_材料表征,体外实验_内衬与球头摩擦腐蚀实验_内衬与球头_实验设置,体外实验_内衬与球头摩擦腐蚀实验_球头腐蚀实验结果,体外实验_内衬与球头摩擦腐蚀实验_内衬腐蚀实验结果,体外实验_内衬与球头摩擦腐蚀实验_内衬与球头_实验环境_润滑液组成,体外实验_内衬与球头摩擦腐蚀实验_球头磨损实验结果,体外实验_内衬与球头摩擦腐蚀实验_内衬磨损实验结果,体外实验_内衬与球头摩擦腐蚀实验_球头表面成分分析,体外实验_球头与锥颈界面微动腐蚀实验_球头与锥颈_实验设置,体外实验_球头与锥颈界面微动腐蚀实验_锥颈与球头_实验环境_润滑液组成,体外实验_球头与锥颈界面微动腐蚀实验_腐蚀与磨损实验结果,paper_id,created_at,updated_at
AJ_20251016_be0c9737_EXP001,膝关节假体参数化设计研究,膝关节,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,金属盘-UHMWPE销磨损实验,膝关节,,"{""材料类别"": ""金属盘"", ""加工工艺"": null, ""表面处理"": null}",,,,,,,,"{""材料类别"": ""UHMWPE"", ""分子量"": null, ""结晶度"": null, ""改性填料"": null, ""加工工艺"": null, ""表面处理"": null}",,,,,,"{""测试设备"": ""销-金属盘模型"", ""摩擦测试条件"": ""多方向相对运动"", ""负载"": null, ""滑动距离"": null, ""润滑液类型"": null, ""测试温度"": null, ""测试时间"": null}",,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,Metal-Polymer髋关节摩擦腐蚀实验,髋关节,,"{""材料类别"": ""Metal (CoCrMo推测)""}",,,,,,,,"{""材料类别"": ""Polymer (UHMWPE推测)""}",,,,,,"{""测试条件"": ""long-term gait"", ""润滑液类型"": ""serum""}","{""腐蚀源"": ""taper/trunnion interface"", ""腐蚀机制"": ""wear and corrosion interaction"", ""保护层"": ""adsorbed protein layer""}",,"{""环境名称"": ""serum solution"", ""成分"": ""protein""}",,,"{""分析位置"": ""taper/trunnion interface worn area"", ""成分组成"": ""tribolayer mainly composed of graphitized carbon""}","{""测试条件"": ""walking gait"", ""润滑液类型"": ""serum solution""}","{""环境名称"": ""serum solution"", ""成分"": ""protein""}","{""主要腐蚀源"": ""taper/trunnion interface"", ""腐蚀机制"": ""cyclic change due to formation and disruption of adsorbed protein layer"", ""磨损区域特征"": ""tribolayer composed of graphitized carbon"", ""保护机制"": ""tribolayer and adsorbed protein layer inhibit corrosion by isolating metal surface from serum solution""}",,,
AJ_20251016_be0c9737_EXP001,PEEK/ZnO-XLPE摩擦磨损实验,膝关节,,"{""材料编号"": ""EXP001"", ""材料类别"": ""PEEK/ZnO复合材料"", ""加工工艺"": ""原位合成结合水热法"", ""表面处理"": null}","{""基材"": ""聚醚醚酮(PEEK)"", ""填料"": ""纳米ZnO"", ""ZnO最佳含量"": ""7.5%""}","{""压缩强度提升"": ""66%""}",纳米ZnO均匀分散在PEEK基体中,,,,,"{""材料类别"": ""XLPE"", ""材料全称"": ""高交联聚乙烯(Highly cross-linked polyethylene)"", ""加工工艺"": null, ""表面处理"": null}",,"{""材料名称"": ""XLPE"", ""材料类型"": ""高交联聚乙烯""}",,"{""PEEK/ZnO复合材料压缩强度提升"": ""66%"", ""抗菌性能"": ""对大肠杆菌和金黄色葡萄球菌具有良好抗菌活性，抗菌活性随纳米ZnO含量增加而增强"", ""最佳ZnO含量"": ""7.5%""}","{""表征方法"": ""SEM"", ""分析结果"": ""纳米ZnO均匀分散在PEEK基体中""}","{""实验类型"": ""滑动摩擦实验"", ""运动模式"": ""膝关节分解运动-滑动、摆动、扭转运动""}",,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,CF/PEEK往复摩擦实验,膝关节,,,,,,,,,,"{""材料类别"": ""CF/PEEK复合材料"", ""加工工艺"": ""真空热压炉压缩成型""}","{""填料种类"": ""碳纤维"", ""变量"": ""添加量、长度、表面氧化处理""}","{""基体材料"": ""聚醚醚酮(PEEK)"", ""增强相"": ""碳纤维(CF)""}","{""洛氏硬度"": ""已测试"", ""压缩性能"": ""已测试"", ""润湿性能"": ""已测试""}",,"{""表征方法"": ""红外吸收光谱"", ""分析内容"": ""分子结构和结晶状态""}","{""测试设备"": [""往复摩擦试验机"", ""人工膝关节摩擦试验机""], ""实验变量"": [""碳纤维添加量"", ""碳纤维长度"", ""碳纤维表面氧化处理"", ""润滑剂""], ""测量参数"": [""摩擦系数"", ""磨损率""]}",,,"{""润滑条件"": ""有润滑剂和无润滑剂对比""}",,"{""评估指标"": [""摩擦系数"", ""磨损率""], ""磨损机理研究"": ""根据磨损表面形貌分析""}",,,,,,,
AJ_20251016_be0c9737_EXP002,膝关节CF/PEEK复合材料摩擦实验,膝关节,,,,,,,,,,"{""材料类别"": ""CF/PEEK复合材料"", ""改性填料"": ""碳纤维"", ""加工工艺"": ""真空热压炉压缩成型""}","{""填料种类"": ""碳纤维"", ""添加量变量"": ""不同添加体积"", ""碳纤维长度"": ""不同长度"", ""表面处理"": ""表面氧化处理""}","{""基体材料"": ""聚醚醚酮(PEEK)"", ""增强材料"": ""碳纤维(Carbon Fiber)""}","{""洛氏硬度"": ""已测试"", ""压缩性能"": ""已测试"", ""润湿性能"": ""已测试""}","{""结晶度"": ""已测试""}","{""表征方法"": ""红外吸收光谱"", ""分析内容"": ""分子结构和结晶条件""}","{""测试设备"": ""往复摩擦试验机和人工膝关节摩擦试验机"", ""测试变量"": ""碳纤维添加体积、长度、表面氧化处理、润滑剂""}",,,"{""润滑条件"": ""有润滑剂和无润滑剂对比""}",,"{""评价指标"": ""摩擦系数、磨损率"", ""磨损机制分析"": ""根据磨损表面形貌研究"", ""最佳改性参数"": ""待测试确定""}",,,,,,,
AJ_20251016_be0c9737_EXP001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ_20251103_4026ca86,金属假体材料-扭动微动摩擦腐蚀机理研究,髋关节,,"{""材料类别"": ""金属假体材料"", ""对偶件"": ""Al2O3陶瓷球""}",,,,,,,,,,,,,,"{""运动形式"": ""固定角度扭转微动""}","{""表面膜层"": ""表面形成两层薄膜：外层吸附膜（扩散控制电极反应形成）和内层氧化膜（电化学反应控制形成）"", ""磨损加速腐蚀机理"": ""金属基体磨损产生较多金属离子（以Fe2+为代表）释放到润滑介质，提高牛血清溶液电解质浓度，加速电化学反应进程"", ""腐蚀加速磨损机理"": ""金属在牛血清溶液中发生腐蚀后，降低金属表面耐磨性，使表面更易被磨损"", ""接触面积影响"": ""磨痕外围磨屑堆积，金属基体与牛血清溶液接触面积增大，造成更多腐蚀体积损失""}",,"{""类型"": ""牛血清润滑介质""}","{""磨痕形状"": ""近似椭球形"", ""磨损机制"": ""磨痕边缘区域为三体磨粒磨损，造成更多磨损体积损失"", ""磨屑特征"": ""金属材料疲劳剥落形成大小不一的磨屑，磨屑在磨痕边缘区域堆积"", ""体积损失组成"": ""总体积损失=单纯磨损体积损失+单纯腐蚀体积损失+磨损与腐蚀交互作用体积损失""}",,"{""膜层破坏"": ""Al2O3陶瓷球扭转微动破坏金属表面吸附膜和氧化膜""}",,,,b3_5_人工关节金属假体材料界面间的摩擦腐蚀行为_张鑫,,2025-11-03 03:21:30
AJ_20251103_bcc5c08f,微织构CoCrMo-HXPE多向磨损实验,髋关节,DePuy Synthes Joint Reconstruction联合University of Utah研究,"{""材料类别"": ""CoCrMo合金"", ""表面处理"": ""抛光+激光表面织构化"", ""织构类型"": ""浅球形微织构特征阵列"", ""材料编号"": ""ASTM F1537"", ""直径"": ""38.1 mm"", ""厚度"": ""12.5 mm"", ""织构加工方法"": ""飞秒激光烧蚀工艺"", ""表面粗糙度"": ""Ra<50 nm""}",,"{""弹性模量"": ""230 GPa"", ""泊松比"": ""0.3""}","{""织构深度"": ""0.50-2.00 μm"", ""织构直径"": ""100 μm"", ""织构间距"": ""198-396 μm"", ""深径比"": ""0.005-0.020"", ""织构密度"": ""0.05-0.20"", ""织构形状"": ""浅球形""}",,,,,"{""材料类别"": ""HXPE"", ""材料全称"": ""高交联聚乙烯"", ""材料等级"": ""GUR 1020"", ""制备工艺"": ""挤出、退火、伽马射线辐照 (5.0 MRad)"", ""直径"": ""9.5 mm"", ""长度"": ""18 mm"", ""表面加工"": ""飞刀切削平面""}",,,"{""弹性模量"": ""1 GPa"", ""泊松比"": ""0.4""}",,"{""表面粗糙度"": ""Ra<1.5 μm"", ""测试方法"": ""白光干涉仪""}","{""测试设备"": ""AMTI OrthoPOD Pin-on-disc tribometer"", ""载荷"": ""0.50 MPa"", ""滑动速度"": ""0.10 m/s"", ""运动形式"": ""多向剪切"", ""峰值接触压力"": ""4.65 MPa"", ""运动轨迹"": ""10×20 mm方形"", ""频率"": ""1.6 Hz"", ""加载方式"": ""Paul加载循环"", ""温度"": ""37°C"", ""循环次数"": ""1.98 million cycles"", ""测量间隔"": ""0.33 million cycles"", ""清洁频率"": ""每0.33 million cycles清洁一次"", ""测量方法"": ""重量法 (ISO 14242-2)""}","{""腐蚀性能"": ""激光织构化不会对CoCrMo的腐蚀电位产生负面影响"", ""测试方法"": ""电化学阻抗谱 (EIS) 和循环动电位极化 (CPP, ASTM G61)"", ""电解液"": ""磷酸盐缓冲盐水 (NERL Blood Bank Saline)"", ""测试区域"": ""1 cm²"", ""参比电极"": ""Ag/AgCl饱和KCl"", ""对电极"": ""铂网"", ""测试设备"": ""Bio-logic SP-200电位仪"", ""开路电位测量"": ""OCP稳定标准为变化<10 mV/h"", ""极化电阻"": ""通过EIS测定, 从高频 (10⁶ Hz) 和低频 (10⁻¹ Hz) 阻抗差值获得"", ""激励电压"": ""5-10 mV AC"", ""OCP稳定时间"": ""3 h"", ""腐蚀电位范围"": ""-165 to -79 mV"", ""腐蚀电流范围"": ""0.06-0.2 nA"", ""腐蚀速率范围"": ""0.48-1.7 μg/y"", ""对照组腐蚀电位"": ""-136±9.7 mV"", ""对照组腐蚀电流"": ""1.49±0.6 nA"", ""对照组腐蚀速率"": ""11.6±4.6 μg/y"", ""对照组极化电阻"": ""2.00±0.19 MΩ·cm²"", ""钝化特征"": ""电流密度<10 μA，宽电位范围内保持钝化"", ""局部腐蚀"": ""返回扫描无滞后现象，不易发生局部腐蚀"", ""氧化层特征"": ""单一时间常数，氧化层完整无孔"", ""织构影响"": ""激光织构表面腐蚀性能与非织构表面相当，未增加腐蚀敏感性""}",,"{""动力粘度"": ""1.0 Pa·s"", ""类型"": ""牛血清+水"", ""成分"": ""牛血清稀释至蛋白浓度64.8 mg/mL"", ""蛋白浓度"": ""64.8 mg/mL"", ""添加剂"": ""0.2% 叠氮化钠 (抑制细菌生长) + 20 mM EDTA (稳定磷酸钙)"", ""温度"": ""37°C"", ""稀释剂"": ""反渗透水""}",,"{""磨损率降低"": ""超过50%（微织构表面相比抛光表面）"", ""测量方法"": ""重量法 (ISO 14242-2)"", ""测量设备"": ""XP205天平 (Mettler Toledo)"", ""磨损率计算方法"": ""最小二乘线性回归 (排除0循环点)"", ""样品数量"": ""9个测试销+3个浸泡补偿样品"", ""磨损趋势"": ""磨损随循环次数增加而增加"", ""织构效果"": ""所有微织构设计相比无织构盘减少聚乙烯磨损超过50%"", ""不同织构间差异"": ""不同微织构设计之间的聚乙烯磨损无显著差异"", ""表面粗糙度变化"": ""与微织构盘配对的聚乙烯销表面粗糙度增加小于与无织构盘配对"", ""磨损机制"": ""微流体动力轴承增加润滑膜厚度，减少接触和磨损"", ""磨损降低"": ""织构表面比抛光表面降低50%以上""}",,,,,b2_2_表面纹理对钴铬钼聚乙烯磨损的影响,,
AJ_20251103_b816502d,Miller-Galante固定平台-UHMWPE髋关节磨损分析,膝关节,Wear-pattern analysis in retrieved tibial inserts-Y.-C. Lu等-1997-2007,"{""材料类别"": ""钴铬合金""}",,,,,,,,"{""材料类别"": ""UHMWPE"", ""设计类型"": ""固定平台型"", ""产品型号"": ""Miller-Galante (Zimmer)"", ""灭菌方式"": ""空气中伽马射线辐照"", ""制备工艺"": ""直接压缩成型"", ""插入件厚度"": ""平均10.2 mm (8.5-13.5 mm)"", ""插入件宽度"": ""58-77 mm"", ""标准尺寸宽度"": ""65-67 mm""}",,,,,,"{""研究类型"": ""回收植入物磨损分析"", ""样本数量"": ""36个膝关节"", ""植入时长"": ""平均109个月 (50.0-156.0个月)"", ""患者体重"": ""平均73.5 kg (64.0-84.0 kg)"", ""患者年龄"": ""手术时平均58.9岁 (40.0-74.0岁)，翻修时平均67岁 (45.0-81.0岁)""}",,,,,"{""低级磨损-抛光"": ""0.7±2.4 (0.0-12.0)"", ""低级磨损-磨蚀"": ""3.9±4.5 (0.0-13.0)"", ""低级磨损-冷流"": ""0.1±0.4 (0.0-2.0)"", ""高级磨损-划痕"": ""3.8±4.0 (0.0-11.0)"", ""高级磨损-点蚀/金属嵌入"": ""9.5±2.9 (3.0-15.0)"", ""高级磨损-分层"": ""8.1±5.0 (0.0-16.0)"", ""上表面总磨损评分"": ""120.5"", ""下表面磨损特征"": ""低级磨损如磨蚀伴轻微点蚀更常见，聚乙烯凸入螺钉孔和基板产品标记压印"", ""上表面磨损模式"": ""高级磨损-分层、点蚀、刮擦为主"", ""下表面磨损模式"": ""轻微磨损，与金属表面纹理相关"", ""下表面抛光评分"": ""0.0"", ""下表面磨损评分"": ""5.0±2.8 (0.0-12.0)"", ""下表面冷流评分"": ""0.0"", ""下表面点蚀/金属嵌入评分"": ""0.5±1.0 (0.0-3.0)"", ""下表面分层评分"": ""0.1±0.4 (0.0-2.0)"", ""上下表面磨损相关性"": ""R²=0.001, p>0.05 (无显著相关)"", ""磨损与植入时长相关性"": ""上表面R²=0.17, p=0.02 (显著相关); 下表面R²=0.02, p=0.4 (无显著相关)"", ""磨损与体重相关性"": ""上表面R²=0.01, p=0.71; 下表面R²=0.00, p=0.9 (无显著相关)"", ""磨损与厚度相关性"": ""上表面R²=0.01, p=0.75; 下表面R²=0.06, p=0.65 (无显著相关)"", ""磨损特征"": ""产生较大的碎片颗粒或大体积材料损失"", ""临床表现"": ""骨溶解发生率低于旋转平台，但严重磨损可导致变形、不稳定和失败"", ""表面特征"": ""聚乙烯突入螺钉孔，基板标记的压痕可见，下表面可见嵌入碎屑""}",,,,,b2_3_取出固定和活动PE膝关节假体的磨损,,2025-11-03 06:31:42
AJ_20251103_99deba1e,锻造CoCrMo合金-氧化锆陶瓷球摩擦腐蚀实验-60N,髋关节,中国矿业大学-王庆良等-2015年,"{""材料类别"": ""氧化锆陶瓷"", ""直径"": ""4 mm""}",,,,"{""材料类别"": ""锻造CoCrMo合金"", ""材料标准"": ""ISO5832-12"", ""试样尺寸"": ""20 mm×20 mm×5 mm"", ""表面处理"": ""180#、400#、800#和1200#水砂纸打磨后抛光"", ""表面粗糙度"": ""Sa=11.0±4.0 nm""}","{""Co"": ""Bal."", ""Cr"": ""28.20 wt%"", ""Mo"": ""5.98 wt%"", ""Ni"": ""0.41 wt%"", ""Fe"": ""0.70 wt%"", ""Mn"": ""0.64 wt%"", ""C"": ""0.23 wt%""}","{""抗拉强度"": ""840 MPa"", ""屈服强度"": ""590 MPa"", ""延伸率"": ""17.5%"", ""硬度"": ""340 HV""}",,,,,,,,"{""测试设备"": ""UMT-2多功能摩擦磨损试验机"", ""载荷"": ""60 N"", ""运动形式"": ""球盘往复摩擦"", ""滑动速度"": ""10 mm/s"", ""往复运动距离"": ""10 mm"", ""往复频率"": ""1 Hz"", ""滑动时间"": ""9000 s"", ""往复滑动周期"": ""9000次"", ""温度"": ""37±1°C"", ""电位"": ""0.5 V""}","{""腐蚀电位"": ""-820 mV"", ""钝化区间"": ""0.5~0.75 V区间出现二次钝化"", ""摩擦腐蚀电流密度"": ""12.4×10⁻⁵ mA/cm²"", ""钝化特征"": ""二次钝化特征""}",,"{""类型"": ""小牛血清溶液"", ""浓度"": ""25%""}","{""总损失量"": ""380±25 μg"", ""机械磨损损失量"": ""220±18.3 μg"", ""腐蚀损失量"": ""18.8±7.6 μg"", ""协同作用损失量"": ""141.2 μg"", ""协同作用占比"": ""37.2%"", ""腐蚀与磨损比值"": ""0.09"", ""磨损表面形貌"": ""典型的犁沟磨损""}","{""纯摩擦系数"": ""0.146"", ""摩擦腐蚀摩擦系数"": ""0.154""}","{""钝化膜组成"": ""主要为Cr₂O₃，其次为CoO和MoO₃""}",,,,b1_3_CoCrMo摩擦腐蚀行为,,2025-11-03 06:31:42
AJ_20251103_a8227fd9,CoCrMo-Ti6Al4V头颈界面微动腐蚀实验-开路电位,髋关节,,"{""材料类别"": ""CoCrMo合金""}",,,,"{""材料类别"": ""Ti6Al4V合金""}",,,,,,,,,,,,,,,,,"{""载荷"": [""5N"", ""10N"", ""15N""], ""测试条件"": ""开路电位""}",,"{""微动运行区域"": ""随载荷增加始终处于滑移区"", ""Ft-D-N曲线特征"": ""随着载荷增加曲线始终处于平行四边形"", ""摩擦系数变化规律"": ""随载荷增加而降低"", ""摩擦系数特点"": ""三个阶段：迅速增加、回落、稳定，摩擦系数最低"", ""摩擦系数原因"": ""钼元素产生细晶强化作用，表面氧化膜更稳定，耐磨性更强"", ""微动区域"": ""随载荷增加始终处于滑移区"", ""磨损机制"": ""典型的磨粒磨损，随载荷增加磨损区域面积扩大"", ""磨痕宽度-10N"": ""219.0 μm"", ""氧元素含量"": ""50.62 wt%"", ""材料转移元素"": ""Co 3.53 wt%, Cr 16.95 wt%, Mo 3.18 wt%"", ""材料转移特征"": ""对摩副材料脱落形成材料转移膜"", ""开路电位变化"": ""微动过程中呈负移趋势，随载荷增加负移趋势增大"", ""电位下降"": ""电位下降最大，第一循环耗散能最大"", ""钝化膜机制"": ""滑移区钝化膜主要是破坏机制主导"", ""自腐蚀电位-10N"": ""-0.495 V"", ""自腐蚀电流密度-10N"": ""4.933E-8 A/cm²"", ""阻抗特征"": ""阻抗值居中"", ""摩擦系数特征"": ""摩擦系数最低"", ""微动运行机制"": ""随着载荷增加始终处于滑移区"", ""微动腐蚀机制"": ""滑移区主要是钝化膜的破坏机制主导"", ""微动结束后阻抗参数"": ""Rs=46.78 Ω·cm², CPEin=2.792E-5 F·cm², n=0.9, Rin=1.605E5 Ω·cm²""}",b1_1_人工髋关节头颈典型材料界面间球盘微动腐蚀试验研究_吴东升,,2025-11-03 06:31:42
AJ_20251103_7787e986,锻造CoCrMo合金-ZrO2陶瓷球摩擦腐蚀实验-60N,髋关节,中国矿业大学-王庆良等-2015年,"{""材料类别"": ""ZrO2陶瓷球"", ""直径"": ""4 mm""}",,,,"{""材料类别"": ""锻造CoCrMo合金"", ""标准"": ""ISO5832-12"", ""样品尺寸"": ""20 mm×20 mm×5 mm"", ""表面处理"": ""180#-400#-800#-1200#水砂纸打磨后抛光"", ""表面粗糙度"": ""Sa=11.0±4.0 nm""}","{""Co"": ""Bal."", ""Cr"": ""28.20 wt%"", ""Mo"": ""5.98 wt%"", ""Ni"": ""0.41 wt%"", ""Fe"": ""0.70 wt%"", ""Mn"": ""0.64 wt%"", ""C"": ""0.23 wt%""}","{""抗拉强度"": ""840 MPa"", ""屈服强度"": ""590 MPa"", ""延伸率"": ""17.5%"", ""硬度"": ""340 HV""}",,,,,,,,"{""测试设备"": ""UMT-2多功能摩擦磨损试验机"", ""载荷"": ""60 N"", ""滑动速度"": ""10 mm/s"", ""往复运动距离"": ""10 mm"", ""往复频率"": ""1 Hz"", ""滑动时间"": ""9000 s"", ""循环次数"": ""9000次"", ""温度"": ""37±1°C"", ""运动形式"": ""球盘往复摩擦"", ""对摩材料"": ""ZrO2陶瓷球(直径4 mm)""}","{""腐蚀电位"": ""-820 mV"", ""钝化区间"": ""0.5-0.75 V"", ""测试电位"": ""0.5 V"", ""腐蚀电流密度"": ""12.4×10⁻⁵ mA/cm²"", ""钝化特征"": ""二次钝化现象"", ""工作面积"": ""4 cm²"", ""腐蚀行为"": ""随载荷增加，机械磨损损失占比增大，腐蚀损失占比降低，协同作用损失占比随载荷增加而增大""}",,"{""类型"": ""小牛血清溶液"", ""浓度"": ""25%"", ""温度"": ""37±1°C""}","{""总损失量"": ""380±25 μg"", ""机械磨损损失量"": ""220±18.3 μg"", ""化学腐蚀损失量"": ""18.8±7.6 μg"", ""协同作用损失量"": ""141.2 μg"", ""协同作用占比"": ""37.2%"", ""磨损形貌"": ""典型犁沟磨损""}","{""摩擦系数-纯摩擦"": ""0.146"", ""摩擦系数-摩擦腐蚀"": ""0.154""}","{""钝化膜组成"": ""主要为Cr₂O₃，其次为CoO和MoO₃"", ""分析方法"": ""XPS""}",,,,CoCrMo摩擦腐蚀行为,,2025-11-03 06:31:42
AJ_20251103_dd5381ab,CoCrMo-CoCrMo微动腐蚀实验,,"Syracuse University-Viswanathan Swaminathan, Jeremy L. Gilbert-2012年","{""材料类别"": ""CoCrMo合金"", ""材料标准"": ""ASTM-F1537"", ""表面处理"": ""抛光至600目"", ""形状"": ""圆锥形平底销"", ""直径"": ""0.35-0.8 mm""}",,"{""硬度特征"": ""较高硬度""}",,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,,,,,,,,,,"{""实验类型"": ""微动腐蚀"", ""材料配副"": ""CoCrMo/CoCrMo"", ""电位控制"": ""恒电位0 V vs. Ag/AgCl"", ""载荷范围"": ""0.5-50 N"", ""位移幅值"": ""50 μm"", ""频率"": ""1.25 Hz"", ""循环次数"": ""200 cycles"", ""样品形状"": ""销-盘配副"", ""销直径"": ""0.35-0.8 mm"", ""表面粗糙度"": ""600 grit"", ""暴露区域直径"": ""2.3 mm"", ""预平衡时间"": ""15 min"", ""接触应力范围"": ""0-1000 MPa"", ""系统刚度"": ""0.9-1.4 N/μm""}","{""类型"": ""PBS"", ""成分"": ""磷酸盐缓冲液"", ""pH"": ""7.4"", ""温度"": ""室温""}","{""微动腐蚀电流"": ""1.2 mA/cm²"", ""摩擦系数"": ""0.3"", ""微动电流响应"": ""电流随载荷增加而增加，至20 N达到峰值后开始下降"", ""粘滑行为"": ""随载荷增加粘着摩擦增加，导致微动运动和腐蚀电流降低"", ""基线电流密度"": ""随载荷增加略有增加"", ""恢复时间"": ""随载荷增加略有增加"", ""摩擦系数范围"": ""0.8(初始)降至0.3(稳定)"", ""腐蚀电流密度峰值"": ""最高1.2 mA/cm²(350 MPa)"", ""腐蚀电流密度平台区"": ""80-100 MPa至650 MPa,平台区最宽"", ""统计显著性"": ""电流密度显著高于CoCrMo/Ti6Al4V配副(p<0.01)"", ""微动行为"": ""低载荷时全滑移,高载荷时粘滑过渡至全粘着"", ""机械能耗"": ""单位机械能(1 μJ)产生约3 μA/cm²电流"", ""微动电流密度"": ""0.5-1 mA/cm²"", ""表面损伤特征"": ""较少塑性变形，微动痕迹清晰可见"", ""氧化膜特性"": ""较强且韧性好"", ""硬度影响"": ""较高硬度导致微动电流密度降低"", ""腐蚀电流密度"": ""较低的微动电流密度"", ""咬合倾向"": ""较小的咬合倾向"", ""损伤程度"": ""在混合金属或相似合金组合中受到相同程度的损伤"", ""全滑移区域特征"": ""界面机械能耗散与测量的电化学电流之间存在强线性相关"", ""接触力学"": ""遵循典型的赫兹行为""}",CoCrMo与钛合金界面微动腐蚀,,2025-11-03 06:31:42
